UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52 
101277,"R",34,"R",0,"R",34,"R",9,"R",25,"R",0,"R",0,"R",9
103732,"R",28,"R",0,"R",28,"R",0,"R",17,"R",0,"R",0,"R",11
103741,"R",59,"R",0,"R",59,"R",0,"R",31,"R",0,"R",0,"R",28
103811,"R",1281,"R",0,"R",1281,"R",53,"R",873,"R",0,"R",0,"R",408
103954,"R",29,"R",0,"R",29,"R",12,"R",18,"R",0,"R",1,"R",10
103963,"R",1228,"R",0,"R",1228,"R",594,"R",643,"R",0,"R",7,"R",578
104294,"R",62,"R",0,"R",62,"R",11,"R",38,"R",0,"R",0,"R",24
104391,"R",85,"R",0,"R",85,"R",15,"R",51,"R",1,"R",0,"R",33
104434,"R",19,"R",0,"R",19,"R",0,"R",11,"R",0,"R",0,"R",8
104443,"R",67,"R",0,"R",67,"R",2,"R",44,"R",0,"R",1,"R",22
104504,"R",186,"R",0,"R",186,"R",101,"R",148,"R",8,"R",0,"R",30
104568,"R",158,"R",1,"R",157,"R",104,"R",122,"R",1,"R",1,"R",33
104911,"R",236,"R",0,"R",236,"R",121,"R",145,"R",7,"R",31,"R",53
105482,"R",51,"R",0,"R",51,"R",17,"R",36,"R",2,"R",0,"R",13
105677,"R",19,"R",0,"R",19,"R",18,"R",18,"R",0,"R",0,"R",1
105701,"R",44,"R",0,"R",44,"R",14,"R",30,"R",0,"R",1,"R",13
105987,"R",534,"R",0,"R",534,"R",68,"R",316,"Z",0,"Z",0,"R",218
106111,"R",59,"R",0,"R",59,"R",0,"R",30,"R",0,"R",0,"R",29
106281,"R",18,"R",0,"R",18,"R",6,"R",6,"R",0,"R",0,"R",12
106315,"R",2,"R",0,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0
106324,"R",30,"Z",0,"R",30,"R",10,"R",14,"Z",0,"Z",0,"R",16
106351,"R",44,"R",0,"R",44,"R",3,"R",29,"R",0,"R",0,"R",15
106360,"R",35,"R",0,"R",35,"R",13,"R",22,"R",0,"R",7,"R",6
106494,"R",44,"R",0,"R",44,"R",21,"R",29,"R",0,"R",5,"R",10
106829,"R",72,"R",0,"R",72,"R",28,"R",29,"R",0,"R",0,"R",43
106892,"R",421,"Z",0,"R",421,"R",185,"R",213,"Z",0,"Z",0,"R",208
