"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","44067","OH","Akron, OH",3402,58,0.9526,12.1951,96.5,7.22222222222222,5.67741935483871
"Zip","44310","OH","Akron, OH",3177,58,1.0678,10.8949,118.5,3.88888888888889,5.67741935483871
"Zip","44685","OH","Akron, OH",2979,58,0.9658,7.8493,82,1.11111111111111,5.67741935483871
"Zip","44203","OH","Akron, OH",1801,58,0.9713,15.6448,102.5,6.11111111111111,5.67741935483871
"Zip","44312","OH","Akron, OH",2321,58,0.989,13.5468,89,1.66666666666667,5.67741935483871
"Zip","44313","OH","Akron, OH",2618,58,0.9651,13.0058,130,8.88888888888889,5.67741935483871
"Zip","44305","OH","Akron, OH",3334,58,0.99,13.8037,118,5,5.67741935483871
"Zip","44314","OH","Akron, OH",3534,58,1.0147,12.605,88,0.555555555555556,5.67741935483871
"Zip","44278","OH","Akron, OH",3577,58,0.9749,15.528,74,3.33333333333333,5.67741935483871
"Zip","44236","OH","Akron, OH",3326,58,0.9555,15.3846,84.5,6.66666666666667,5.67741935483871
"Zip","44241","OH","Akron, OH",3587,58,0.9842,12.069,126,5.55555555555556,5.67741935483871
"Zip","44266","OH","Akron, OH",2327,58,0.982,8.5366,111,2.77777777777778,5.67741935483871
"Zip","44319","OH","Akron, OH",3144,58,0.9319,16.1943,113,9.44444444444444,5.67741935483871
"Zip","44301","OH","Akron, OH",3724,58,0.9495,16.3717,163.5,10,5.67741935483871
"Zip","44221","OH","Akron, OH",2317,58,0.9705,16.5775,84,4.44444444444444,5.67741935483871
"Zip","44223","OH","Akron, OH",3519,58,0.9647,13.2743,108.5,7.77777777777778,5.67741935483871
"Zip","44306","OH","Akron, OH",3321,58,0.9694,14.2857,114.5,8.33333333333333,5.67741935483871
"Zip","44224","OH","Akron, OH",1857,58,0.9676,11.8712,83,2.22222222222222,5.67741935483871
