"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA","Springfield, MA",,4.52426442491402,,,,183300,0.603732162458836,0.825082508250825,,15.6,0.157039711191336,0.0919540229885057,140
"Zip","01002","Amherst","MA","Springfield, MA","Springfield, MA",,8.01872372946121,,,,311800,0.775694893341952,2.46467302004601,,9.3,0.0540084388185654,0.0703125,141.5
"Zip","01005","Town of Barre","MA","Worcester, MA","Worcester, MA",,1.87332823844096,,,,185700,0.0538793103448276,2.76701715550636,,36.3,0.233373639661427,0.0984455958549223,115.5
"Zip","01007","Town of Belchertown","MA","Springfield, MA","Springfield, MA",,6.7472296522736,,,,257500,0.625244236029699,3.2064128256513,,23.1,0.0793650793650794,0.080952380952381,141.5
"Zip","01008","Blandford","MA","Springfield, MA","Springfield, MA",,7.09113488727551,,,,223500,0.224215246636771,5.17647058823529,,12.8,0.0707964601769911,0.0625,140
"Zip","01010","Brimfield","MA","Springfield, MA","Springfield, MA",,4.03897592663355,,,,231000,0.478468899521531,1.27137220517317,,25.9,0.134285714285714,0.0957446808510638,140
"Zip","01011","Chester","MA","Springfield, MA","Springfield, MA",,1.66125334352312,,,,156900,-0.190839694656489,-1.87617260787993,,23.6,0.123809523809524,0.153846153846154,140
"Zip","01013","Chicopee","MA","Springfield, MA","Springfield, MA",,3.35307604126863,,,,157900,0.509229789942712,3.27011118378025,,25.2,0.191709844559585,0.121621621621622,140
"Zip","01020","Chicopee","MA","Springfield, MA","Springfield, MA",,7.21245701184562,,,1.3814,169600,0.77243018419489,3.66748166259169,,17.6,0.157213157213157,0.0823723228995058,140
"Zip","01022","Chicopee","MA","Springfield, MA","Springfield, MA",,5.45471914405808,,,,114100,0.795053003533569,3.91621129326047,,2.3,0.228360957642726,0.0967741935483871,140
"Zip","01026","Cummington","MA","Springfield, MA","Springfield, MA",,8.8479174627436,,,,239600,0.92670598146588,8.6128739800544,,10.6,0.0745341614906832,0.0833333333333333,141.5
"Zip","01027","Easthampton","MA","Springfield, MA","Springfield, MA",,7.00897974780283,,,,237200,0.593723494486853,4.26373626373626,,19.4,0.0607734806629834,0.096969696969697,141.5
"Zip","01028","East Longmeadow","MA","Springfield, MA","Springfield, MA",,5.89415361100497,,,,234300,0.55793991416309,1.8695652173913,,14,0.0939265536723164,0.093984962406015,140
"Zip","01030","Agawam","MA","Springfield, MA","Springfield, MA",,4.53763851738632,,,,221800,0.635208711433757,2.02391904323827,,,0.0916919959473151,0.0994475138121547,140
"Zip","01033","Town of Granby","MA","Springfield, MA","Springfield, MA",,5.32766526557127,,,,218700,0.413223140495868,2.05319645356976,,22.7,0.11062335381914,0.0793650793650794,141.5
"Zip","01034","Granville","MA","Springfield, MA","Springfield, MA",,8.66641192204815,,,,249900,0.684931506849315,1.83374083129584,,14.2,0.0859598853868195,0,140
"Zip","01035","Hadley","MA","Springfield, MA","Springfield, MA",,9.70194879633168,,,,330500,0.76219512195122,5.92948717948718,,3.9,0.0409604519774011,0,141.5
"Zip","01036","Hampden","MA","Springfield, MA","Springfield, MA",,4.16029805120367,,,,247500,0.243013365735115,-0.282030620467365,,21.2,0.0780487804878049,0.09375,140
"Zip","01038","Town of Hatfield","MA","Springfield, MA","Springfield, MA",,9.36377531524647,,,,288000,1.08810108810109,3.78378378378378,,20.6,0.0633245382585752,0,141.5
"Zip","01040","Holyoke","MA","Springfield, MA","Springfield, MA",,4.36473060756592,,,1.6609,166900,0.360793746241732,-0.83184789067142,,28.1,0.140928547909121,0.107476635514019,140
"Zip","01050","Huntington","MA","Springfield, MA","Springfield, MA",,4.55961024073366,,,,204000,0.492610837438424,0.0490436488474743,,17.2,0.0736342042755345,0.193548387096774,141.5
"Zip","01056","Ludlow","MA","Springfield, MA","Springfield, MA",,6.11769201375621,,,2.6134,196400,0.460358056265985,-0.556962025316456,,10.9,0.112020962987226,0.0730994152046784,140
"Zip","01057","Monson","MA","Springfield, MA","Springfield, MA",,5.08024455483378,,,,220100,0.456412596987677,1.61588180978763,,20.3,0.111774744027304,0.083969465648855,140
"Zip","01060","Northampton","MA","Springfield, MA","Springfield, MA",,9.51184562476118,,,,274100,1.0693215339233,3.47300868252171,,10,0.0626934984520124,0,141.5
"Zip","01062","Northampton","MA","Springfield, MA","Springfield, MA",,8.12189529996179,,,,261900,0.653343581860108,2.34466588511137,,7.3,0.0449808008776742,0.0609756097560976,141.5
"Zip","01068","Oakham","MA","Worcester, MA","Worcester, MA",,3.8612915552159,,,,249300,0.281576830249397,3.96163469557965,,29.8,0.123655913978495,0.195652173913043,115.5
"Zip","01069","Town of Palmer","MA","Springfield, MA","Springfield, MA",,3.39606419564387,,,,171900,0.526315789473684,0.762016412661196,,27.7,0.162118780096308,0.099009900990099,140
"Zip","01071","Russell","MA","Springfield, MA","Springfield, MA",,5.7489491784486,,,,190800,0.632911392405063,1.59744408945687,,7.3,0.122448979591837,0.1,140
"Zip","01073","Southampton","MA","Springfield, MA","Springfield, MA",,8.20118456247612,,,,272700,0.627306273062731,2.90566037735849,,16.4,0.0583941605839416,0.046875,141.5
"Zip","01075","South Hadley","MA","Springfield, MA","Springfield, MA",,6.11960259839511,,,,204600,0.34330554193232,1.43777887952405,,15.8,0.108171206225681,0.0575539568345324,141.5
"Zip","01077","Southwick","MA","Springfield, MA","Springfield, MA",,5.08119984715323,,,,227900,0.618101545253863,3.35600907029478,,32.2,0.0945454545454546,0.121794871794872,140
"Zip","01080","Three Rivers","MA","Springfield, MA","Springfield, MA",,0.931410011463508,,,,157800,0.126903553299492,3.27225130890052,,52.9,0.241935483870968,0.133333333333333,140
"Zip","01081","Wales","MA","Springfield, MA","Springfield, MA",,1.64501337409247,,,,181500,0.33167495854063,0.609756097560976,,69.6,0.169435215946844,0.0784313725490196,140
"Zip","01082","Town of Ware","MA","Springfield, MA","Springfield, MA",,3.27665265571265,,,,178500,0.620067643742954,-0.167785234899329,,36.2,0.142656359803233,0.123152709359606,141.5
"Zip","01083","Town of Warren","MA","Worcester, MA","Worcester, MA",,1.83893771494077,,,,169300,0.773809523809524,-2.64519838987924,,167.7,0.130518234165067,0.132352941176471,115.5
"Zip","01085","Westfield","MA","Springfield, MA","Springfield, MA",,6.70328620557891,,,,213800,0.801508722300802,3.63548230731944,,15.7,0.10358718588145,0.101851851851852,140
"Zip","01089","West Springfield","MA","Springfield, MA","Springfield, MA",,5.94764998089415,,,,197000,0.715746421267894,5.40395933654361,,26.3,0.130227001194743,0.105504587155963,140
"Zip","01095","Town of Wilbraham","MA","Springfield, MA","Springfield, MA",,6.18074130683989,,,,263100,0.496562261268144,0.998080614203455,,8.8,0.0920245398773006,0.0755555555555556,140
"Zip","01096","Williamsburg","MA","Springfield, MA","Springfield, MA",,9.62457011845625,,,,247500,0.855745721271394,7.89014821272886,,19.1,0.0705882352941176,0,141.5
"Zip","01098","Worthington","MA","Springfield, MA","Springfield, MA",,8.62437905999236,,,,244500,0.658707286949362,6.48954703832753,,22.9,0.0892193308550186,0.0416666666666667,141.5
"Zip","01104","Springfield","MA","Springfield, MA","Springfield, MA",,1.51318303400841,,,6.6338,114600,0.880281690140845,1.86666666666667,,47.1,0.336971350613915,0.1417004048583,140
"Zip","01105","Springfield","MA","Springfield, MA","Springfield, MA",,0.145204432556362,,,,86200,0.466200466200466,-3.79464285714286,,119.8,0.344827586206897,0.24,140
"Zip","01106","Longmeadow","MA","Springfield, MA","Springfield, MA",,7.03190676346962,,,,319200,0.345803206538824,1.07663077897403,,7.4,0.081282624906786,0.0458715596330275,140
"Zip","01107","Springfield","MA","Springfield, MA","Springfield, MA",,0.708826901031716,,,,117200,0.514579759862779,1.47186147186147,,79.2,0.28169014084507,0.14,140
"Zip","01108","Springfield","MA","Springfield, MA","Springfield, MA",,1.44440198700802,,,5.3662,131000,0.691775557263643,3.31230283911672,,65.8,0.30938242280285,0.142034548944338,140
"Zip","01109","Springfield","MA","Springfield, MA","Springfield, MA",,2.01184562476118,,,4.4949,109800,0.641613198900092,8.49802371541502,,75.3,0.354260089686099,0.169620253164557,140
"Zip","01118","Springfield","MA","Springfield, MA","Springfield, MA",,2.24589224302637,,,,146700,0.479452054794521,0.963523743977977,,25.2,0.250291488534784,0.104037267080745,140
"Zip","01119","Springfield","MA","Springfield, MA","Springfield, MA",,3.10852120748949,,,,138300,0.801749271137026,6.05828220858896,,34.5,0.306576903158985,0.152027027027027,140
"Zip","01128","Springfield","MA","Springfield, MA","Springfield, MA",,3.44956056553305,,,,164300,0.24405125076266,3.65930599369085,,24,0.163025210084034,0.103092783505155,140
"Zip","01129","Springfield","MA","Springfield, MA","Springfield, MA",,3.67596484524264,,,,150700,0.533689126084056,4.14651002073255,,32.4,0.189228529839884,0.1,140
"Zip","01151","Springfield","MA","Springfield, MA","Springfield, MA",,1.36988918609094,,,,112700,0.625,0.714924039320822,,38.8,0.31986531986532,0.131578947368421,140
"Zip","01331","Town of Athol","MA","Worcester, MA","Worcester, MA",,0.672525792892625,,,,132700,-0.0753012048192771,0.759301442672741,,45.1,0.280412371134021,0.136029411764706,115.5
"Zip","01366","Petersham","MA","Worcester, MA","Worcester, MA",,8.05024837600306,,,,241200,0.291060291060291,8.64864864864865,,24.4,0.11219512195122,0.0434782608695652,115.5
"Zip","01368","Royalston","MA","Worcester, MA","Worcester, MA",,7.70252197172335,,,,200500,-0.889767671774592,7.56437768240343,,22.3,0.10762331838565,0,115.5
"Zip","01420","Fitchburg","MA","Worcester, MA","Worcester, MA",,1.35460450897975,,,6.0836,155300,0.322997416020672,0.193548387096774,,44.9,0.301909307875895,0.0909090909090909,115.5
"Zip","01430","Ashburnham","MA","Worcester, MA","Worcester, MA",,2.04241497898357,,,,206900,0.0483558994197292,-0.814956855225312,,29.6,0.182716049382716,0.0945945945945946,115.5
"Zip","01431","Ashby","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,5.73748567061521,,,,227300,0.397526501766784,4.26605504587156,,19.7,0.144427001569859,0.130434782608696,88.5
"Zip","01432","Town of Ayer","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.47439816583875,,,,268400,0.712945590994371,8.88438133874239,,16.6,0.147856517935258,0.0769230769230769,88.5
"Zip","01440","Gardner","MA","Worcester, MA","Worcester, MA",,1.13011081390906,,,,152200,-0.131233595800525,3.0467163168585,,39.2,0.287316652286454,0.114114114114114,115.5
"Zip","01450","Town of Groton","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,9.75448987390141,,,,422800,1.05162523900574,5.85878818227341,,18.5,0.0551262235960845,0.0280373831775701,88.5
"Zip","01451","Harvard","MA","Worcester, MA","Worcester, MA",,9.13450515857853,,,,528900,0.589577786230506,4.25783560023655,,4.6,0.0590128755364807,0.0363636363636364,115.5
"Zip","01452","Hubbardston","MA","Worcester, MA","Worcester, MA",,6.84180359189912,,,,225600,0.624442462087422,2.22020842772995,,14.2,0.133928571428571,0.0666666666666667,115.5
"Zip","01453","Leominster","MA","Worcester, MA","Worcester, MA",,4.25678257546809,,,1.3949,198600,0.303030303030303,-0.799200799200799,,23.3,0.201670220326937,0.102202643171806,115.5
"Zip","01460","Littleton","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,7.71303018723729,,,,403400,0.298359025360517,2.28194726166329,,13.3,0.0546642899584076,0.0652173913043478,88.5
"Zip","01462","Town of Lunenburg","MA","Worcester, MA","Worcester, MA",,7.74742071073749,,,,254800,1.31212723658052,3.57723577235772,,12.2,0.130122950819672,0.0866141732283465,115.5
"Zip","01463","Town of Pepperell","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.91669850974398,,,,303100,0.664231152441049,7.98004987531172,,11.5,0.13215859030837,0.062962962962963,88.5
"Zip","01464","Town of Shirley","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,7.6901031715705,,,,270500,0.632440476190476,3.48125478194338,,8.1,0.125124131082423,0.0873015873015873,88.5
"Zip","01468","Templeton","MA","Worcester, MA","Worcester, MA",,1.04604508979748,,,,183600,0.437636761487965,-0.541711809317443,,60.4,0.246478873239437,0.126530612244898,115.5
"Zip","01469","Town of Townsend","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,5.34581581964081,,,,227200,0.397702165267344,-1.51712180320763,,19.6,0.13034188034188,0.0819672131147541,88.5
"Zip","01473","Westminster","MA","Worcester, MA","Worcester, MA",,3.4543370271303,,,,224300,0.223413762287757,1.44730890999548,,19.8,0.178403755868545,0.093984962406015,115.5
"Zip","01474","Town of Townsend","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,3.01967902178066,,,,242200,-0.247116968698517,2.28040540540541,,,0.114285714285714,0.104166666666667,88.5
"Zip","01475","Town of Winchendon","MA","Worcester, MA","Worcester, MA",,1.41478792510508,,,,168600,0.17825311942959,1.93470374848851,,40.4,0.24375,0.128205128205128,115.5
"Zip","01501","Auburn","MA","Worcester, MA","Worcester, MA",,5.94956056553305,,,,217800,0.786672836649699,3.81315538608198,,16.8,0.189171559034573,0.0913793103448276,115.5
