"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02"
"10025","New York","NY","New York","New York",179.694519317161,,,,202.020202020202,176.8667,179.7938,,,,173.148148148148,170.6231,181.4783,174.8582,,173.5313,177.2722,,,,,205.246913580247,233.6832,,,269.097222222222,237.9907,246.5958,277.9959,288.4501,283.6483,260.4194,271.7092,265.387,,263.399,,300.4479,327.5422,361.9461,374.4042,,348.5533,370.9822,,310.8743,366.4052,398.3249,,,,416.666666666667,,,431.111111111111,,,,,460.11396011396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.853211009174,,626.1878,642.2003,628.3924,,706.0744,678.9036,709.1802,710.0349,712.7347,675.0305,744.532,802.565,845.9164,909.5496,879.0158,,589.8807,,939.3059,939.2809,935.7771,921.2302,911.7485,844.928,788.9485,798.6946,858.8703,842.9752,855.8926,886.2466,877.6005,851.5811,,931.9527,934.1003,,809.2741,858.1474,898.6765,966.9589,997.777,1000.9684,1018.5281,989.2736,1001.4326,991.5536,991.3192,1031.7955,,1024.9379,1051.8314,1029.9601,1035.9082,1046.2802,1060.3075,1044.7264,,956.6582,914.9912,891.2777,,,,925.925925925926,,833.3844,837.2009,811.7014,790.8446,781.5989,,888.6832,897.1936,886.814,831.889,860.6794,862.221,914.8105,892.3448,843.7087,832.2302,833.4255,866.9417,889.1634,,,978.792822185971,964.9829,979.6689,990.0848,,,,851.851851851852,853.9607,,935.7095,926.9097,902.4244,946.6706,989.2522,994.3608,967.9911,940.2947,,936.4163,937.3448,,1025.909,,1057.053,1104.8256,1088.8395,1083.0507,1105.0975,1131.0324,1125.5415,1110.5283,1139.2409,,,,1148.54111405836,1195.3229,,1214.8056,1179.5979,1282.9273,,1234.6214,1156.114,1212.2019
"60657","Chicago","IL","Chicago","Cook",,,,,,,,,,,,124.870466321244,,145.3421,,134.3167,,,,129.444444444444,,88.6953,,,144,,121.6923,130.9664,136.5161,148.2985,143.6107,,148.7494,,,168.75,161.25,146.7307,146.1961,151.7618,156.2292,160.3556,,188.8874,175.3096,,173.3505,164.0313,180.7649,191.8586,184.781,179.1892,188.8702,182.8981,192.7574,,,178.660049627792,,166.2292,180.9938,190.0538,200.0509,188.59,201.4444,208.8611,226.1528,,,214.12037037037,194.6098,197.5942,212.0804,225.2872,217.1222,222.3398,217.2045,216.8139,222.0169,,214.4379,,217.196,216.4664,206.2088,207.7598,224.5602,216.2642,221.0938,214.9643,230.1321,,240.3024,229.1352,214.266,,215.6731,222.3721,230.6775,232.7161,240.2887,239.7986,244.6825,248.2852,245.559,237.5993,233.7682,212.9719,230.2922,244.5287,246.7684,255.2852,255.3757,255.4727,241.1766,257.3536,,239.0583,217.1123,236.3409,250.5536,259.2917,272.939,271.9617,275.3671,268.4469,248.179,263.6603,282.0448,261.3552,255.5679,272.4038,276.9629,256.5795,250.3182,264.5947,268.7562,267.0649,263.9118,,,,,,276.666666666667,274.0523,258.5169,243.8768,248.7436,261.6947,260.6844,254.483,249.6679,,,225,226.4706,230.9286,233.424,242.1448,233.9944,237.2668,233.403,238.5838,229.2805,236.4926,243.8914,225.874,227.1924,243.4083,243.7497,224.5904,218.0891,212.5797,209.0766,217.1647,208.7741,220.577,,239.2988,222.549,224.2381,230.5167,223.2942,224.4215,228.0833,229.3056,226.7942,218.9,217.4383,215.5105,201.2752,208.9345,206.8782,219.52,219.0675,214.8402,213.9793,198.1394,204.0152,212.4153,219.9362,211.8049,,221.3254,230.4137,244.2481,245.8587,258.9105,251.9137,254.9705,251.536,251.0754,234.1782,249.5021,,273.2425,270.6395,270.9443,281.9972,268.3949,268.1439,262.9286,,230.4029,,
"10023","New York","NY","New York","New York",386.7531,362.2472,356.1319,329.6394,307.5448,,325.6311,317.3953,321.8096,314.5678,,316.2529,313.0928,327.3094,,350.4034,346.9732,367.1686,398.9904,,404.1525,394.7461,446.1846,414.4644,391.9746,376.0102,404.2246,428.5774,449.8411,464.1097,462.731,438.9508,466.3027,481.9178,471.631,478.9545,498.8458,493.5974,529.3305,526.4766,530.9074,542.7862,528.332,526.0024,560.0843,569.4145,571.3455,565.5726,576.0565,601.3621,644.514,642.948,579.7241,578.3742,613.5223,,,,712.971481140754,684.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.092772384035,792.7677,814.0646,834.2379,865.6671,,935.5099,985.2806,953.747,982.1589,1065.9594,1035.3728,1010.3695,971.0228,1023.3302,1018.0136,1060.7417,1076.3796,1092.5334,1128.5002,1133.272,1095.0086,1144.9572,1144.3889,1126.4588,1117.3328,1180.9577,1224.2547,1189.3153,1191.6013,1180.8527,1232.9611,1193.8331,,1118.2438,1158.1733,1240.1735,1258.1822,1231.0278,1221.1984,1264.1303,1297.9521,1192.6983,1120.3838,1172.3644,1245.399,1362.1574,1457.7949,1545.6884,1746.7127,1717.2736,1739.6467,1554.9262,1603.8332,1464.3261,1402.9735,1463.3238,1564.4317,1449.7182,1364.1135,1295.9972,1200.4237,1174.563,,1078.3857,1138.3859,1161.8771,1251.0704,1294.2999,1307.7353,1333.0926,1281.9248,1292.3745,1222.1885,1228.6547,1161.7171,1147.0128,1159.9988,1219.7733,1220.9712,1157.2466,1149.7227,1210.6197,1213.3288,1268.9827,1226.3744,1308.0726,1220.2987,1164.7313,1158.663,1211.9345,1196.9127,1337.4149,,1352.5275,1226.1536,1293.5796,,,1177.28531855956,1183.4257,1262.6141,1214.5734,1104.4091,1180.5041,1222.018,1272.2737,1255.9253,1351.5088,1272.7999,,,1181.35376756066,1420.1466,1410.7247,1395.2284,1418.6071,1381.9611,1390.3128,1495.1362,1497.461,1372.4316,1413.8878,,1472.2047,1469.6173,1428.8444,1581.3757,1664.764,1682.7702,,1536.1992,1573.519,1625.2367
"60614","Chicago","IL","Chicago","Cook",18.9873417721519,,,,,,15.3921568627451,,,112.5,,70.8737,,118.8614,129.1534,134.2804,137.451,139.6924,135.5347,140.8056,136.538,139.827,127.0265,146.5399,145.271,141.0276,149.7695,147.1475,148.9356,151.333,,127.5924,147.9324,173.1764,172.8731,168.1632,168.0944,164.8248,166.5969,,147.3276,152.0645,165.1558,169.6591,180,183.4773,,214.9145,197.4444,192.2341,186.2954,196.0378,194.5279,194.0332,193.6367,209.609,204.6756,201.6418,193.9095,198.7143,208.4684,197.0413,200.3409,209.8004,231.0567,221.6186,212.9228,198.5337,210.7872,234.7204,,153.2616,178.2298,,222.9284,228.4052,216.2689,223.1292,221.7071,,,194.6352,,,175.2429,214.7343,229.3474,234.3246,242.5551,232.8528,239.5267,246.5842,,193.8719,214.1364,244.3949,244.2699,240.6023,253.55,250.876,249.2614,248.9564,264.1737,274.9474,270.3485,253.4773,247.75,258.6818,257.6649,266.4659,267.8291,278.7156,262.1444,265.2296,247.8501,246.4781,257.3325,245.9001,259.935,251.7532,261.2284,271.9027,283.2595,268.7825,265.2408,282.5335,273.1147,288.2917,281.6441,265.8625,,286.0506,255.0484,259.092,247.4873,253.7927,280.625,273.6382,288.9595,,288.7566,280.8893,,,285.714285714286,273.6573,260.6832,271.7469,272.5536,278.9812,285.6567,,,,,233.333333333333,262.9902,256.0758,178.5752,174.4191,,248.633,215.0526,229.1842,258.3842,288.9755,240.8667,223.5355,235.4291,262.8038,272.8784,262.6468,242.2707,238.6671,236.6368,229.424,237.5331,237.2411,,241.8803,227.0153,242.3299,255.7356,260.4437,272.6978,259.0232,249.5417,267.0992,256.6263,245.1699,241.1274,236.7542,246.5924,246.7286,236.4362,245.2155,244.9719,249.822,232.703,235.0074,241.1409,249.1899,228.1064,212.476,231.7091,257.6656,270.5157,277.6558,273.9158,270.0057,278.7981,259.2238,245.9049,252.4555,261.0213,271.8531,269.5682,269.7368,277.0673,265.4717,268.8182,281.8281,297.2136,272.2956,265.85,261.225,267.88
"10002","New York","NY","New York","New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.750739332488,,,,,,,,,,,878.136200716846,902.1192,892.7611,954.557,,,,942.823178016726,931.2077,,1014.9668,1027.5208,,,1162.28070175439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.72485768501,,,,,,,,,,,,906.593406593407,,,,
"94109","San Francisco","CA","San Francisco","San Francisco",232.6951,238.5078,243.2503,247.2646,232.8633,247.3727,257.4388,260.2513,266.8068,273.1607,264.6746,270.0907,264.1971,263.4247,272.9421,291.4591,284.5261,279.1845,278.3278,278.2793,285.7084,289.9525,285.5714,293.0249,305.3282,323.4235,352.4894,362.3875,361.5704,340.062,347.6359,353.3382,366.0528,364.922,369.0663,383.4551,383.9322,406.2348,401.4649,376.2973,380.5397,390.3687,383.1238,391.3981,419.6908,420.9736,455.7558,499.4816,480.7957,473.1578,479.7566,492.9318,494.5331,499.7609,524.3583,533.4559,532.4003,517.2185,517.1099,528.7083,555.4303,570.3004,530.9071,529.7998,495.0646,497.6411,492.9354,483.4104,498.2458,496.3175,501.3728,501.0251,505.7501,513.5346,515.681,539.3833,545.5398,528.3484,546.6247,520.538,513.394,502.3616,505.8816,520.8884,507.5116,530.3585,530.2351,512.5636,514.3675,542.6862,557.6772,563.4085,562.4494,551.213,541.917,528.701,551.0536,565.7776,586.6725,586.6351,578.5997,609.9038,633.5343,619.1052,607.4583,598.2902,657.9695,707.3968,718.2027,738.5248,744.154,751.077,731.9537,748.437,745.4537,734.1987,726.9533,741.8017,710.9701,735.1504,753.859,764.066,722.0482,730.7275,716.849,730.3154,698.6861,678.0239,675.5251,,,701.943844492441,730.7355,759.385,731.3585,739.6233,769.5874,784.5591,831.7603,804.7106,751.9957,,708.9556,741.7428,770.7149,802.8245,738.3931,725.5482,748.185,,713.0781,752.647,717.6897,,746.6653,738.2003,,,814.585908529048,764.8927,733.1177,708.3027,648.6296,664.5409,654.9421,603.627,561.0743,572.4397,643.5149,661.4533,631.9504,662.1324,660.5405,641.5601,616.4885,642.3718,654.3092,659.2111,640.016,560.448,549.8692,604.0094,682.4279,718.2871,634.9379,620.9937,607.1815,593.7979,629.1478,498.4442,,594.9709,671.2743,709.6951,670.0933,704.0493,712.5071,761.0187,745.3196,670.1974,654.0326,,,718.132854578097,723.7234,739.1871,816.8079,801.2078,822.3765,,776.0254,778.4535,799.4484,,820.0779,907.6879,930.4651,933.5763,880.3884,830.9492,852.1649,882.2313,873.3878,916.0661,867.4348,916.891,
"60640","Chicago","IL","Chicago","Cook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6190476190476,,,,,,,,,,,,,174.586776859504,,150.973,138.4821,,,,,,,,157.777777777778,159.844,165.8816,170.5915,,,,,,,,,147.826086956522,164.6966,,178.3524,,182.5448,,182.8458,,,,,,,,,191.666666666667,,,,,,,,219.047619047619,218.3442,209.1053,198.8542,203.8879,,180.6972,190.4965,,,,200,211.3852,222.8348,230.8123,209.6098,210.3933,,,210.588235294118,208.5121,,211.748,227.1733,234.9184,229.5479,,228.9069,232.1207,241.903,224.4288,,,,,,226.470588235294,,,,,,,,,,193.636363636364,,,,213.235294117647,215.0087,,194.7381,,,,,,,,,,,185.0488,201.4242,,,,,,198.540145985401,,190.849,187.0739,,,,,,,,,,,,165,149.8039,173.8533,,,127.719962157048,132.3889,,,160,,,,146.428571428571,,,,,,,,,,160,167.4169,166.6005,,162.5481,160.0882,179.8625,,,,195.964125560538,190.1029,190.328,188.7646,197.254,199.6344,206.3895,,182.472,197.2523,
"11375","New York","NY","New York","Queens",,,,,,,,,,248.713550600343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11235","New York","NY","New York","Kings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.292407108239,346.1019,351.481,361.3912,,386.5763,415.1108,409.6551,,432.6122,452.3393,,458.3753,459.471,466.0561,486.0627,487.3222,479.0029,500.8598,,,,534.94623655914,,,477.848101265823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.895027624309,,,423.301707779886,,,432.412790697674,,,,,,,,,,,,,,540.540540540541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.220640569395,,,,,,
"10016","New York","NY","New York","New York",,250.544662309368,259.6511,265.7569,263.374,263.2265,279.6549,,,,291.570438799076,308.0703,300.5022,319.5298,,316.4741,289.2492,286.778,273.8092,266.327,276.6583,287.7429,297.9001,295.9914,297.2362,308.3731,313.2972,328.3825,335.9964,342.6606,352.9869,365.2983,357.9204,363.0691,328.4986,322.1883,342.2745,363.4405,361.065,363.8133,376.0902,385.6598,389.9142,391.3563,395.8101,399.8497,402.9675,397.1841,424.0383,450.4148,478.126,489.8807,492.1372,496.4721,476.3451,497.0206,506.9028,526.0526,519.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.974358974359,618.4012,641.009,642.0557,640.4032,637.7728,681.1439,722.0592,749.2794,765.2263,780.0799,773.6029,783.9416,793.818,806.2722,826.0089,857.6346,897.6032,937.4055,935.3419,928.9553,958.8061,968.2446,980.0473,981.021,959.5751,970.5514,947.4458,939.109,957.1533,965.8475,961.3402,974.3242,986.8135,1033.6504,1063.7529,1080.4978,1054.7093,1096.1608,1102.7476,1124.8742,1097.4737,1057.4733,1042.7471,1032.2866,1094.7939,1148.8286,1270.5006,1326.0941,1318.4209,1184.6221,1092.5271,1124.997,1166.5111,1154.7873,1118.6029,1075.8071,1112.6919,1181.0185,1223.3251,1221.1548,1103.5851,1144.6191,,,994.318181818182,963.7699,953.5818,974.5634,972.7973,962.1564,958.2154,927.0707,931.2986,936.3185,964.4291,,946.2364,964.5003,1000.8728,1031.7186,1045.2228,1023.7319,1011.1915,1005.0323,991.0948,1006.8072,1018.893,1007.7684,991.0684,973.794,963.4354,923.8001,954.6591,957.58,,1089.3823,1042.5664,972.5227,934.5535,950.7543,960.7068,983.7318,999.8556,1008.6791,1046.8922,1040.9527,1060.2166,1008.6974,998.8398,1015.0898,1023.2325,1008.6757,1062.2567,1049.275,1093.714,1110.6717,1140.7809,1221.9659,1205.3625,1182.8212,1170.7877,1113.4583,1154.5389,1138.6022,1127.8019,1161.4357,1183.2789,1278.1258,1303.3538,1262.4105,1232.2076,1260.3837,1227.0379
