"RegionName","City","State","Metro","CountyName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02"
"10025","New York","NY","New York","New York",,,,,,,,,,,,,,,,,,,,,0.969465648854962,,,,,,,,,,,,,,,,,,,,,,,0.9689,0.9643,0.9732,0.9734,0.9723,0.9645,,,0.977142857142857,0.9758,0.98,,0.9964,0.9942,0.9884,0.9928,0.9954,0.9985,,0.9873,0.9867,0.9849,,0.973,0.9877,0.9885,0.9951,0.9979,1,1,1,0.9979,1.0007,0.9898
"60657","Chicago","IL","Chicago","Cook",0.9579,0.9606,0.9542,0.9376,0.9389,0.9347,0.9425,0.9439,0.9503,0.9546,0.9527,0.9492,0.9531,0.9526,0.9522,0.945,0.9434,0.9414,0.9489,0.9556,0.9558,0.9524,0.9537,0.949,0.9464,0.9453,0.9455,0.9477,0.9574,0.9521,0.9508,0.9497,0.9509,0.9519,0.9484,0.9495,0.942,0.9426,0.9442,0.9548,0.9584,0.9546,0.9538,0.9529,0.9565,0.958,0.9568,0.9583,0.9582,0.9565,0.9557,0.9585,0.9636,0.9621,0.9644,0.9692,0.9773,0.9759,0.9751,0.9752,0.9798,0.9779,0.9783,0.9759,0.9706,0.9706,0.9761,0.9822,0.9831,0.9831,0.977,0.9765,0.9779,0.9787,0.9739,0.9734,0.9721
"10023","New York","NY","New York","New York",,,,,,,,,,,0.923076923076923,,,,,,,,,,,,,,,,,,,,,,,0.970266040688576,,,,,,,,,0.963636363636364,0.9604,0.9582,0.9635,0.968,0.9733,0.9638,0.9597,0.9681,,0.9717,,0.9537,0.9645,0.9783,0.9925,0.9919,0.9955,0.9981,0.998,0.9901,0.9898,0.9949,0.9989,0.9893,0.9857,0.9831,0.9917,0.9973,0.9934,0.9954,0.9898,0.9834,0.9852,0.9826
"60614","Chicago","IL","Chicago","Cook",0.9584,0.9491,0.9471,,,0.923694779116466,0.9435,0.9474,0.9495,0.9425,0.9474,0.9471,0.9494,0.945,0.9515,0.9451,0.9279,0.9342,0.9428,0.9457,0.9474,0.9478,0.9481,0.9478,0.9467,0.9365,0.9379,0.9369,0.9417,0.9485,0.9459,0.9436,0.944,0.9456,0.9457,0.9441,0.9437,0.9463,0.9367,0.9361,0.9424,0.9524,0.9526,0.9488,0.9518,0.9541,0.9549,0.9565,0.9586,0.9627,0.9577,0.9556,0.9586,0.9585,0.9605,0.9663,0.9712,0.9745,0.9755,0.9725,0.9694,0.9742,0.9766,0.977,0.9731,0.974,0.9735,0.9752,0.9773,0.9784,0.9762,0.9748,0.9738,0.9725,0.9712,0.9653,0.9594
"94109","San Francisco","CA","San Francisco","San Francisco",,,,,,,,,,,,0.96,0.9635,0.9821,0.9694,,,,,0.956185567010309,0.9678,0.9798,,,,,0.951585976627713,,,0.990344827586207,0.996,0.9913,0.9949,,,0.945205479452055,0.9638,0.9647,,,,1,1,1.0065,1.0091,0.9919,0.9921,1.0075,1.0123,1.0076,1.0021,1.0003,,1.0121,1.037,1.0218,1.0264,1.0259,1.0145,,1.0193,1.0363,1.0192,,1.0836,1.1224,1.1029,1.106,1.0762,1.0634,1.0632,1.0643,1.0669,,1.051,,
"60640","Chicago","IL","Chicago","Cook",0.9674,,,,,0.949913644214162,0.9597,0.9589,0.9546,0.9635,0.9632,0.9609,0.9559,0.9555,0.9597,0.9548,0.9611,0.9578,0.954,0.9508,0.9568,0.9568,0.9602,,0.9533,,0.9516,0.9559,,0.9597,0.9541,0.9552,0.9542,0.9554,0.9512,0.9515,0.9528,0.9532,0.9498,0.9469,0.958,0.9634,0.9535,0.9597,0.9612,0.9612,0.9616,0.9608,0.9604,0.9612,0.9673,0.9687,0.9668,0.9701,0.9723,0.9744,0.9755,0.9793,0.9753,0.9733,0.9737,0.9716,0.9823,0.9796,0.9711,0.9735,0.977,0.9793,0.9767,0.9779,0.9775,0.9754,0.9743,0.9719,0.9724,0.9667,0.9707
"11375","New York","NY","New York","Queens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9582,0.9547,,,0.974468085106383,,,,,,,,,,0.944206008583691,0.9493,0.9571,0.9556,0.9547,0.9615,0.9672,0.9608,0.9633,0.9595,0.9583,0.961,0.9681,0.9732,0.973,0.971,0.9657,0.9713,0.9712,0.9637,0.9679
"11235","New York","NY","New York","Kings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90288315629742,,,,,,,,0.901803607214429,,0.9468,0.9586,0.952,,
"32162","The Villages","FL","The Villages","Sumter",,,,,,0.893710691823899,,0.9451,,0.9408,0.9427,,0.9334,0.9451,,,,0.943396226415094,0.9504,0.9464,0.961,0.9706,0.9644,0.9444,0.9364,0.9444,0.9488,0.9486,0.9478,0.9403,0.9417,0.944,0.9497,0.9569,0.959,0.9544,0.9459,0.9461,0.9457,0.9479,0.9552,0.9617,0.9606,0.9621,0.9654,0.9614,0.9586,0.961,0.9651,0.9664,0.9646,0.967,0.964,0.9638,0.9642,0.9679,0.9676,0.9714,0.9746,0.9761,0.9752,0.9738,0.9749,0.9707,0.9704,0.9664,0.9687,0.9703,0.9733,0.9762,0.9742,0.9703,0.965,0.9639,0.9696,0.9722,0.9683
"10016","New York","NY","New York","New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953991880920162,,,,,,,,0.9588,,0.9656,0.9611,0.9581,0.9618,0.9654,0.9663,0.9668,,,0.96,0.9628,0.9738,0.9849,0.9868,0.9847,0.9805,0.9853,0.9859,0.9806,0.976,0.9772,0.9746,0.9772,0.9777,0.9881,0.9933,0.9929,0.991,0.9808,0.9819,0.9805,0.9769,0.9801
