"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"10025","NY","New York","New York","New York",0,1038700,0.0041569992266048,0.0163405088062622,0.0363164721141375,0.0720573105248994,0.0678401708425431,"2015-02","2015-Q1",1038700,0,"2015-02"
2015-02-28,"60657","IL","Chicago","Cook","Chicago",1,300800,-0.00496195831955012,-0.0079155672823219,0.00467601870407482,0.00180494523456454,-0.00161455887728101,"2006-02","2006-Q1",318800,-0.0564617314930991,"2005-01"
2015-02-28,"60614","IL","Chicago","Cook","Chicago",2,374000,-0.00478978179882916,-0.0131926121372032,-0.0402874005645368,0.00345804668180283,-0.000904574177878703,"2007-08","2007-Q3",398900,-0.0624216595638004,"2005-01"
2015-02-28,"10002","NY","New York","New York","New York",3,911100,0.0042989417989418,0.0303064570846998,0.0733977379830349,0.0582422607110731,0.0697593500550477,"2015-02","2015-Q1",911100,0,"2015-02"
2015-02-28,"10467","NY","New York","Bronx","New York",4,325700,0.00711193568336425,0.0300442757748261,0.136030694105337,0.0246950145433484,0.0118867827040785,"2007-05","2007-Q2",393200,-0.171668362156663,"2005-11"
2015-02-28,"94109","CA","San Francisco","San Francisco","San Francisco",5,975100,0.008585022755482,0.028261098808394,0.108194112967383,0.0737113578228576,0.0358674100647798,"2015-02","2015-Q1",975100,0,"2015-02"
2015-02-28,"11226","NY","New York","Kings","New York",6,642300,0.00328022492970947,0.0148522673408121,0.196535022354694,0.0749037272956437,0.061686565010082,"2015-02","2015-Q1",642300,0,"2015-02"
2015-02-28,"60640","IL","Chicago","Cook","Chicago",7,188300,-0.00317628374801482,-0.0120671563483736,-0.0283797729618163,-0.0279734728382929,-0.0168594412501341,"2007-06","2007-Q2",234000,-0.195299145299145,"2002-06"
2015-02-28,"11375","NY","New York","Queens","New York",8,779600,0.00270096463022508,0.00515729757607014,0.0505322732785339,0.0278356858263893,0.0344907113413162,"2015-02","2015-Q1",779600,0,"2015-02"
2015-02-28,"11235","NY","New York","Kings","New York",9,584800,-0.00408719346049046,0.000513259195893926,-0.00594934557198708,0.018875784104762,0.0370635409792404,"2014-12","2014-Q4",588300,-0.00594934557198708,"2014-12"
2015-02-28,"32162","FL","The Villages","Sumter","The Villages",10,248200,0.000403063280935107,0.00161420500403551,0.0561702127659574,0.0402063952103899,0.0213678518015725,"2006-12","2006-Q4",253300,-0.0201342281879195,"2006-09"
2015-02-28,"90250","CA","Los Angeles","Los Angeles","Hawthorne",11,484300,0.00811823480432972,0.0256247352816603,0.111544640807895,0.0557158266416151,0.00703756574689107,"2006-07","2006-Q3",547400,-0.115272195834856,"2005-06"
2015-02-28,"37211","TN","Nashville","Davidson","Nashville",12,160400,0.00564263322884012,0.0223072020395156,0.0956284153005464,0.0261173957488363,0.0226608582000205,"2015-02","2015-Q1",160400,0,"2015-02"
2015-02-28,"10009","NY","New York","New York","New York",13,1124500,0.00689469914040115,0.0520160913088222,0.077829962618614,0.0551210857834132,0.0618432028024802,"2015-02","2015-Q1",1124500,0,"2015-02"
2015-02-28,"37013","TN","Nashville","Davidson","Nashville",14,142500,0.00493653032440056,0.0135135135135135,0.0730421686746988,0.014658264779644,0.00616917141056517,"2007-03","2007-Q1",148600,-0.041049798115747,"2006-03"
2015-02-28,"60647","IL","Chicago","Cook","Chicago",15,271800,-0.00403078050567974,-0.00802919708029197,-0.0829959514170041,0.00767931225488327,-0.000623317671276991,"2006-06","2006-Q2",310300,-0.124073477280052,"2005-02"
2015-02-28,"10029","NY","New York","New York","New York",16,720200,0.0116589408624807,0.0159401890252504,0.0746045956430916,0.046097493913043,,"2015-02","2015-Q1",720200,0,"2015-02"
2015-02-28,"60618","IL","Chicago","Cook","Chicago",17,316800,-0.00471253534401508,-0.0136986301369863,-0.0282208588957055,0.011835680813066,-0.000910824559817169,"2006-11","2006-Q4",354000,-0.105084745762712,"2005-01"
2015-02-28,"90046","CA","Los Angeles","Los Angeles","Los Angeles",18,1169800,0.00879613659882718,0.0294816509724545,0.162360890302067,0.0641078023327173,0.0278177196428346,"2015-02","2015-Q1",1169800,0,"2015-02"
2015-02-28,"28269","NC","Charlotte","Mecklenburg","Charlotte",19,154700,0.00454545454545455,0.0130975769482646,0.0625,0.0159951083500829,0.00443736445552667,"2007-09","2007-Q3",160900,-0.038533250466128,"2006-09"
2015-02-28,"30349","GA","Atlanta","Clayton","Riverdale",20,87100,0.00345622119815668,0.0283353010625738,0.167560321715818,0.00394993713281644,-0.0427335761650569,"2006-04","2006-Q2",141900,-0.386187455954898,"1998-03"
2015-02-28,"10003","NY","New York","New York","New York",21,1519200,0.0224106602059358,0.0751592356687898,0.129516728624535,0.0777458458745992,0.0653978822851615,"2015-02","2015-Q1",1519200,0,"2015-02"
2015-02-28,"94565","CA","San Francisco","Contra Costa","Pittsburg",22,306800,0.0138797091870456,0.038591740013541,0.196101364522417,0.123882914800888,-0.0288163702377287,"2006-01","2006-Q1",470000,-0.347234042553192,"2003-10"
2015-02-28,"10462","NY","New York","Bronx","New York",23,104100,0.00774443368828654,0.00872093023255814,-0.0713648528099911,-0.0249201847271507,,"2013-06","2013-Q2",118800,-0.123737373737374,
2015-02-28,"10456","NY","New York","Bronx","New York",24,263900,0.00189825360668185,0.0228682170542636,0.107892527287993,0.0112854715031481,0.0280104554606473,"2008-06","2008-Q2",284900,-0.0737100737100737,"2007-12"
2015-02-28,"21234","MD","Baltimore","Baltimore","Parkville",25,194800,0.00360638845955693,0.00775995861355406,0.0268845545598313,-0.00840791896340021,0.0079889678793974,"2007-06","2007-Q2",225200,-0.134991119005329,"2005-08"
2015-02-28,"60613","IL","Chicago","Cook","Chicago",26,188900,-0.000529100529100529,-0.00631246712256707,-0.0634605850272682,-0.0339421752147006,-0.0224701219956512,"2005-04","2005-Q2",238400,-0.207634228187919,"2001-08"
